tbl_CallPreProc(tbl_CallPreProc)

Export Time:2018/06/03 11:07:18

ID,Call source code,Call code,Nature of callee address indicator,Centrex GroupNo,Local DN set,Call prefix,Caller category,Time Index,Orginal SubCategory,Call prefix processing name,Call from,Called number change flag,Method of sending tone,Failure processing flag,Caller number change flag,Call Prefix Processing control flag,Color ring mode,Reserved,New DN set,Called number change index,Caller number change index,Mobile send tone method,Reanalysis,Tone position,Send answer signal,Reserved Field,Reanalysis items,Signal tone type,Processing type,Failure cause code,SCP parameter table index,New Local DN set,New Call Source Code,Master/Slave type,Adjust called num flag,Adjust called num before change flag,Adjust called collected num flag,Reserved Field,SubCategory,Prefix index,Service access code,Reserved For Hot Patch,Status
1379,223,1516,All number,65535,9,'00,All categories,'0,65534,CAI_to_INT_to_LDNSET1,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,1,'0(No Change),Not sending tone,True,'0,True,'0,'00000000,Record 0,No process,Interconnection not defined,255,1,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
339,405,185,All number,65535,'0,'00,All categories,'0,65534,Noname,MAP,True,Not send tone,False,True,Normal,Not Send,'0,NULL,'0(No Change),25,Not sending tone,True,'0,True,'0,'00000000,Record 0,No process,Interconnection not defined,255,8,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
244,18,947,All number,65535,13,'00,All categories,'0,65534,Noname,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,1,'0(No Change),Not sending tone,True,'0,True,'0,'00000000,Record 0,No process,Interconnection not defined,255,1,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
295,5,185,All number,65535,'0,'00,All categories,'0,65534,Tawfeer-prefix,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,1,'0(No Change),Not sending tone,True,'0,True,'0,'00000000,Record 0,No process,Interconnection not defined,255,3,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
478,19,947,All number,65535,13,'00,All categories,'0,65534,Noname,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,1,'0(No Change),Not sending tone,True,'0,True,'0,'00000000,Record 0,No process,Interconnection not defined,255,1,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
94,218,1516,All number,65535,9,'00,All categories,'0,65534,Sama_to_INT_to_LDNSET1,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,1,'0(No Change),Not sending tone,True,'0,True,'0,'00000000,Record 0,No process,Interconnection not defined,255,1,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
'0,'0,185,All number,65535,'0,'00,All categories,'0,65534,CHANGE_LDANSET,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,1,'0(No Change),Not sending tone,True,'0,True,'0,'00000000,Record 0,No process,Interconnection not defined,255,1,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
201,15,1763,All number,65535,10,'00,All categories,'0,65534,Noname,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,1,'0(No Change),Not sending tone,True,'0,True,'0,'00000000,Record 0,No process,Interconnection not defined,255,1,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
529,401,185,All number,65535,'0,'00,All categories,'0,65534,Noname,MAP,True,Not send tone,False,True,Normal,Not Send,'0,NULL,'0(No Change),25,Not sending tone,True,'0,True,'0,'00000000,Record 0,No process,Interconnection not defined,255,8,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
2,301,185,All number,65535,'0,'00,All categories,'0,65534,CHANGE_LDANSET,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,1,'0(No Change),Not sending tone,True,'0,True,'0,'00000000,Record 0,No process,Interconnection not defined,255,1,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
