tbl_CallerDistGroupISP(tbl_CallerDistGroupISP)

Export Time:2018/06/03 11:13:26

ID,Discrimination group number,Caller number,Address nature,Phone number type,Function code,Call source code change flag,Charging source code change flag,Barring group number change flag,Peru user flag,Peru user state,Peru user sub state,Minimum length,Maximum length,Call source code,Charging source code,Barring group number,Caller category,Caller number change index,generic number change index,redirect number change index,original called number change index,Codec list,Caller toll call password,User Type,Hairpinning Mode,Preselect Policy Code,Original function code,Barring indication,Is or not Different Carrier,Change multi number,Set CLIR,Reserved,is wslst or not,Cause Value,Status
'0,1,26841610,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,100,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
1,1,29333333,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,100,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
2,1,24584180,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,100,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
3,1,88888888,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,101,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
4,1,24492052,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,100,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
5,1,24345443,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,100,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
6,2,88888888,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,50,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
7,1,24495254,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,100,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
8,1,24565603,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,100,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
9,1,23144444,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,100,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
10,1,24484255,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,100,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
11,1,24573157,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,100,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
12,1,24787180,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,100,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
13,604,22005681,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,501,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
14,1,24633001,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,100,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
15,621,220610,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,501,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
16,603,22005681,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,501,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
17,603,22005682,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,501,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
18,1,23658524,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,100,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
19,1,20128388,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,100,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
