tbl_DBChange(tbl_DBChange)

Export Time:2018/06/03 11:08:53

Number change index,Number change type,Change location,Change length,Nature of address indicator,Reserved,New number,Presentation indicator,Reserved2,Appointed change number,State
'0,No change,'0,'0,Address nature not changed,255,,No change,'0,,1
1,Delete number,'0,2,Address nature not changed,255,,No change,'0,,1
2,Delete number,'0,5,Address nature not changed,255,,No change,'0,,1
3,Delete number,'0,5,National number,255,,No change,'0,,1
4,Delete number,'0,4,Address nature not changed,255,,No change,'0,,1
5,Delete number,'0,6,Address nature not changed,255,,No change,'0,,1
6,Delete number,'0,5,Address nature not changed,255,,No change,'0,,1
7,Number changed,'0,9,Address nature not changed,255,9744404131,No change,'0,,1
8,Number changed,'0,8,International number,255,97142288007,No change,'0,,1
9,Number changed,'0,8,Address nature not changed,255,97142288007,No change,'0,,1
10,Number changed,'0,3,Address nature not changed,255,111,No change,'0,,1
11,Delete number,'0,5,Address nature not changed,255,,No change,'0,,1
12,Insert number,'0,3,International number,255,968,No change,'0,,1
13,Insert number,'0,3,Address nature not changed,255,'075,No change,'0,,1
14,Delete number,'0,6,National number,255,,No change,'0,,1
15,No change,'0,'0,Subscriber number,255,,No change,'0,,1
16,Number changed,'0,6,Address nature not changed,255,C57C,No change,'0,,1
17,Delete number,'0,7,Address nature not changed,255,,No change,'0,,1
18,Insert number,'0,4,Address nature not changed,255,2222,No change,'0,,1
19,Insert number,'0,4,Address nature not changed,255,B150,No change,'0,,1
20,Delete number,'0,3,National number,255,,No change,'0,,1
21,Insert number,'0,2,Address nature not changed,255,'00,No change,'0,,1
22,Delete number,'0,3,International number,255,,No change,'0,,1
23,Delete number,'0,4,International number,255,,No change,'0,,1
24,No change,'0,'0,International number,255,,No change,'0,,1
25,No change,'0,'0,National number,255,,No change,'0,,1
26,Number changed,'0,'0,National number,255,,No change,'0,,1
27,Delete number,'0,3,Address nature not changed,255,,No change,'0,,1
28,Delete number,'0,4,Address nature not changed,255,,No change,'0,,1
29,Insert number,'0,6,Address nature not changed,255,968078,No change,'0,,1
30,No change,'0,'0,National number,255,,No change,'0,,1
31,Insert number,'0,4,Address nature not changed,255,C123,No change,'0,,1
