tbl_RouteAna(tbl_RouteAna)

Export Time:2018/06/03 10:36:54

Global index,Route Analysis Name,Route Select Code,Incoming Trunk Type,Destination Access Class,Prefix Index,Sub Category,Route Select Source Code,Caller Category,Service attribute,Nature of callee address indicator,Caller Access,Transmission Capability,Time index,Customize subscriber type,Called Number Plan Indecitor,Time Index Flag,Time Segment Index,Active Status,Route number,First Sel Control Signal,Master/Slave type,Is PRADDI,Status
'0,,40,All categories,All categories,254,65534,203,All categories,All categories,All number,All categories,All categories,'0,All type,All number plan id,Time index mode,65534,Active,41,Not change,Master,'0,1
1,,200,All categories,All categories,254,65534,'0,All categories,All categories,All number,All categories,All categories,'0,All type,All number plan id,Time index mode,65534,Active,201,Not change,Master,'0,1
2,,40,All categories,All categories,254,65534,3,All categories,All categories,All number,All categories,All categories,'0,All type,All number plan id,Time index mode,65534,Active,42,Not change,Master,'0,1
3,,40,All categories,All categories,254,65534,4,All categories,All categories,All number,All categories,All categories,'0,All type,All number plan id,Time index mode,65534,Active,42,Not change,Master,'0,1
4,,40,All categories,All categories,254,65534,5,All categories,All categories,All number,All categories,All categories,'0,All type,All number plan id,Time index mode,65534,Active,42,Not change,Master,'0,1
5,,202,All categories,All categories,254,65534,'0,All categories,All categories,All number,All categories,All categories,'0,All type,All number plan id,Time index mode,65534,Active,221,Not change,Master,'0,1
6,,'0,All categories,All categories,254,65534,'0,All categories,All categories,All number,All categories,All categories,'0,All type,All number plan id,Time index mode,65534,Active,'0,Not change,Master,'0,1
7,,1,All categories,All categories,254,65534,3,All categories,All categories,All number,All categories,All categories,'0,All type,All number plan id,Time index mode,65534,Active,1,Not change,Master,'0,1
8,,'0,All categories,All categories,254,65534,3,All categories,All categories,All number,All categories,All categories,'0,All type,All number plan id,Time index mode,65534,Active,'0,Not change,Master,'0,1
9,,'0,All categories,All categories,254,65534,4,All categories,All categories,All number,All categories,All categories,'0,All type,All number plan id,Time index mode,65534,Active,'0,Not change,Master,'0,1
10,,'0,All categories,All categories,254,65534,5,All categories,All categories,All number,All categories,All categories,'0,All type,All number plan id,Time index mode,65534,Active,'0,Not change,Master,'0,1
11,,202,All categories,All categories,254,65534,3,All categories,All categories,All number,All categories,All categories,'0,All type,All number plan id,Time index mode,65534,Active,222,Not change,Master,'0,1
12,,'0,All categories,All categories,254,65534,203,All categories,All categories,All number,All categories,All categories,'0,All type,All number plan id,Time index mode,65534,Active,'0,Not change,Master,'0,1
13,,1,All categories,All categories,254,65534,4,All categories,All categories,All number,All categories,All categories,'0,All type,All number plan id,Time index mode,65534,Active,1,Not change,Master,'0,1
14,,1,All categories,All categories,254,65534,5,All categories,All categories,All number,All categories,All categories,'0,All type,All number plan id,Time index mode,65534,Active,1,Not change,Master,'0,1
15,,202,All categories,All categories,254,65534,4,All categories,All categories,All number,All categories,All categories,'0,All type,All number plan id,Time index mode,65534,Active,222,Not change,Master,'0,1
16,,202,All categories,All categories,254,65534,5,All categories,All categories,All number,All categories,All categories,'0,All type,All number plan id,Time index mode,65534,Active,222,Not change,Master,'0,1
17,,202,All categories,All categories,254,65534,100,All categories,All categories,All number,All categories,All categories,'0,All type,All number plan id,Time index mode,65534,Active,223,Not change,Master,'0,1
18,,20,All categories,All categories,254,65534,204,All categories,All categories,All number,All categories,All categories,'0,All type,All number plan id,Time index mode,65534,Active,21,Not change,Master,'0,1
19,,40,All categories,All categories,254,65534,204,All categories,All categories,All number,All categories,All categories,'0,All type,All number plan id,Time index mode,65534,Active,41,Not change,Master,'0,1
20,,200,All categories,All categories,254,65534,3,All categories,All categories,All number,All categories,All categories,'0,All type,All number plan id,Time index mode,65534,Active,202,Not change,Master,'0,1
21,,200,All categories,All categories,254,65534,4,All categories,All categories,All number,All categories,All categories,'0,All type,All number plan id,Time index mode,65534,Active,202,Not change,Master,'0,1
22,,200,All categories,All categories,254,65534,5,All categories,All categories,All number,All categories,All categories,'0,All type,All number plan id,Time index mode,65534,Active,202,Not change,Master,'0,1
23,,200,All categories,All categories,254,65534,100,All categories,All categories,All number,All categories,All categories,'0,All type,All number plan id,Time index mode,65534,Active,203,Not change,Master,'0,1
24,,201,All categories,All categories,254,65534,'0,All categories,All categories,All number,All categories,All categories,'0,All type,All number plan id,Time index mode,65534,Active,211,Not change,Master,'0,1
25,,201,All categories,All categories,254,65534,3,All categories,All categories,All number,All categories,All categories,'0,All type,All number plan id,Time index mode,65534,Active,212,Not change,Master,'0,1
26,,201,All categories,All categories,254,65534,4,All categories,All categories,All number,All categories,All categories,'0,All type,All number plan id,Time index mode,65534,Active,212,Not change,Master,'0,1
27,,201,All categories,All categories,254,65534,5,All categories,All categories,All number,All categories,All categories,'0,All type,All number plan id,Time index mode,65534,Active,212,Not change,Master,'0,1
28,,201,All categories,All categories,254,65534,100,All categories,All categories,All number,All categories,All categories,'0,All type,All number plan id,Time index mode,65534,Active,213,Not change,Master,'0,1
29,,243,All categories,All categories,254,65534,'0,All categories,All categories,All number,All categories,All categories,'0,All type,All number plan id,Time index mode,65534,Active,350,Not change,Master,'0,1
30,,20,All categories,All categories,254,65534,203,All categories,All categories,All number,All categories,All categories,'0,All type,All number plan id,Time index mode,65534,Active,21,Not change,Master,'0,1
31,,20,All categories,All categories,254,65534,3,All categories,All categories,All number,All categories,All categories,'0,All type,All number plan id,Time index mode,65534,Active,22,Not change,Master,'0,1
32,,20,All categories,All categories,254,65534,4,All categories,All categories,All number,All categories,All categories,'0,All type,All number plan id,Time index mode,65534,Active,22,Not change,Master,'0,1
33,,20,All categories,All categories,254,65534,5,All categories,All categories,All number,All categories,All categories,'0,All type,All number plan id,Time index mode,65534,Active,22,Not change,Master,'0,1
