tbl_SipIPPairConfig(tbl_SipIPPairConfig)

Export Time:2018/06/03 10:44:58

ID,Trunk No,IFM Module,Local server port,Remote IP1,Remote IP2,Remote IP3,Remote IP4,Remote URI,Master/Slave type,Remote IP1,Remote IP2,Remote IP3,Remote IP4,Second Remote URI,Second Master/Slave type,PBX Domain Name,IsDeleteTechprefix,Techprefix,Protocol Type,Reserved,PBX Equipment ID,Status
'0,100,132,5060,10,201,143,34,10.201.143.34:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
1,101,132,5060,10,201,143,42,10.201.143.42,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
2,604,133,5060,10,201,145,3,10.201.145.3:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
3,621,133,5060,10,201,144,11,10.201.144.11:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
4,603,133,5060,10,201,144,3,10.201.144.3:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
5,622,133,5060,10,201,145,11,10.201.145.11:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
6,607,133,5060,10,201,144,4,10.201.144.4:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
7,608,133,5060,10,201,145,4,10.201.145.4:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
8,609,133,5060,10,201,144,5,10.201.144.5:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
9,610,133,5060,10,201,145,5,10.201.145.5:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
10,651,133,5060,10,201,144,28,10.201.144.28:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
11,652,133,5060,10,201,145,28,10.201.145.28:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
12,675,133,5060,10,201,146,7,10.201.146.7:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
13,676,133,5060,10,201,147,7,10.201.147.7:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
14,615,133,5060,10,201,144,8,10.201.144.8:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
15,616,133,5060,10,201,145,8,10.201.145.8:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
16,619,133,5060,10,201,144,10,10.201.144.10:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
17,620,133,5060,10,201,145,10,10.201.145.10:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
18,1586,133,5060,10,201,148,55,10.201.148.55:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
19,1587,133,5060,10,201,149,55,10.201.149.55:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
20,613,133,5060,10,201,144,7,10.201.144.7:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
21,614,133,5060,10,201,145,7,10.201.145.7:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
22,637,133,5060,10,201,144,19,10.201.144.19:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
23,638,133,5060,10,201,145,19,10.201.145.19:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
24,627,133,5060,10,201,144,14,10.201.144.14:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
25,628,133,5060,10,201,145,14,10.201.145.14:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
26,629,133,5060,10,201,144,15,10.201.144.15:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,False,,UDP,'0,,1
