tbl_SubRoute(tbl_SubRoute)

Export Time:2018/06/03 10:09:18

Sub-route number,Sub-route name,Office direction number,Group selection mode,Is rented subroute,Whether modified rent time,Total rented time,Time unit(minute or second),Invalid if timeout,Time offset,Last modify rent time date,Master/Slave type,Route identify number,Indirect sub-route number,Callee sending change index,Charge with number changed,State
'0,SOISS-SOMSS,'0,Cyclic,Unrent,Un Modified,'0,Second,Invalid,'0,2009-06-16 11:30:34:110,Master,65535,NONE,'0,'00000000,1
1,SOISS-MUMSS,1,Cyclic,Unrent,Un Modified,'0,Second,Invalid,'0,2010-03-02 11:21:55:750,Master,65535,NONE,'0,'00000000,1
2,MUMSS1-DPC2,1,Cyclic,Unrent,Un Modified,'0,Second,Invalid,'0,2013-02-02 16:27:56:500,Master,65535,NONE,'0,'00000000,1
12,OT,12,Cyclic,Unrent,Un Modified,'0,Second,Invalid,'0,2009-06-20 15:45:15:060,Master,65535,NONE,'0,'00000000,1
13,OM,12,Cyclic,Unrent,Un Modified,'0,Second,Invalid,'0,2009-12-26 18:01:51:326,Master,65535,NONE,'0,'00000000,1
20,OT-GMP1-CCS,20,Cyclic,Unrent,Un Modified,'0,Second,Invalid,'0,2010-04-10 17:11:58:390,Master,65535,NONE,'0,'00000000,1
21,OT-QUR2-CCS,21,Cyclic,Unrent,Un Modified,'0,Second,Invalid,'0,2010-04-10 17:11:59:640,Master,65535,NONE,'0,'00000000,1
22,OT-GMP1-INTL,20,Cyclic,Unrent,Un Modified,'0,Second,Invalid,'0,2010-04-10 17:11:55:763,Master,65535,NONE,'0,'00000000,1
23,OT-QUR2-INTL,21,Cyclic,Unrent,Un Modified,'0,Second,Invalid,'0,2010-04-10 17:11:57:076,Master,65535,NONE,'0,'00000000,1
24,OT-GMP1-FIXED,20,Cyclic,Unrent,Un Modified,'0,Second,Invalid,'0,2010-04-10 17:12:01:013,Master,65535,NONE,'0,'00000000,1
25,OT-QUR2-FIXED,21,Cyclic,Unrent,Un Modified,'0,Second,Invalid,'0,2010-04-10 17:12:02:263,Master,65535,NONE,'0,'00000000,1
30,OT-NGN Fixed to Fixed,35,Cyclic,Unrent,Un Modified,'0,Second,Invalid,'0,2011-07-13 15:20:28:170,Master,65535,NONE,'0,'00000000,1
33,CCS,35,Cyclic,Unrent,Un Modified,'0,Second,Invalid,'0,2013-01-21 15:28:32:060,Master,65535,NONE,'0,'00000000,1
34,OT NGN,35,Cyclic,Unrent,Un Modified,'0,Second,Invalid,'0,2012-07-01 12:26:45:493,Master,65535,NONE,'0,'00000000,1
35,OT NGN,35,Cyclic,Unrent,Un Modified,'0,Second,Invalid,'0,2011-04-11 16:56:54:333,Master,65535,NONE,'0,'00000000,1
36,OT-NGN-INT,35,Cyclic,Unrent,Un Modified,'0,Second,Invalid,'0,2012-07-02 10:13:19:503,Master,65535,NONE,'0,'00000000,1
50,OM-NGN-INT-MSS02,50,Cyclic,Unrent,Un Modified,'0,Second,Invalid,'0,2015-04-13 16:32:33:596,Master,65535,NONE,'0,'00000000,1
53,INT-2nd,52,Cyclic,Unrent,Un Modified,'0,Second,Invalid,'0,2009-06-24 15:55:53:903,Master,65535,NONE,'0,'00000000,1
58,OMANTEL-ISC1-FIXED,60,Cyclic,Unrent,Un Modified,'0,Second,Invalid,'0,2010-03-29 10:54:16:340,Master,65535,NONE,'0,'00000000,1
59,OMANTEL-ISC2-FIXED,61,Cyclic,Unrent,Un Modified,'0,Second,Invalid,'0,2010-03-29 10:54:17:590,Master,65535,NONE,'0,'00000000,1
60,OMANTEL-ISC1-MOBILE,60,Cyclic,Unrent,Un Modified,'0,Second,Invalid,'0,2010-03-15 15:15:57:530,Master,65535,NONE,'0,'00000000,1
61,OMANTEL-ISC2-MOBILE,61,Cyclic,Unrent,Un Modified,'0,Second,Invalid,'0,2010-03-15 15:15:58:716,Master,65535,NONE,'0,'00000000,1
62,OMANTEL-ISC1-FIXED-CCS,60,Cyclic,Unrent,Un Modified,'0,Second,Invalid,'0,2010-03-15 15:15:59:903,Master,65535,NONE,'0,'00000000,1
