tbl_SubTrkGrp(tbl_SubTrkGrp)

Export Time:2018/06/03 10:10:04

Trunk group number,Sub-route number,Priority level,Availability,Reserved,Status
'0,'0,'0,255,255,1
1,'0,'0,255,255,1
2,'0,'0,255,255,1
3,'0,'0,255,255,1
4,2,'0,255,255,1
5,2,'0,255,255,1
8,2,'0,255,255,1
9,2,'0,255,255,1
10,10,'0,255,'0,1
11,11,'0,255,255,1
12,'0,'0,255,255,1
13,'0,'0,255,255,1
14,'0,'0,255,255,1
15,'0,'0,255,255,1
18,18,'0,255,'0,1
19,19,'0,255,'0,1
20,33,'0,255,255,1
21,33,'0,255,255,1
22,33,'0,255,255,1
23,33,'0,255,255,1
24,36,'0,255,255,1
25,36,'0,255,255,1
26,36,'0,255,255,1
27,36,'0,255,255,1
28,34,'0,255,255,1
29,34,'0,255,255,1
30,34,'0,255,255,1
31,34,'0,255,255,1
34,35,'0,255,255,1
35,35,'0,255,255,1
48,48,'0,255,255,1
49,48,'0,255,255,1
50,50,'0,255,255,1
51,50,'0,255,255,1
52,52,'0,255,255,1
53,52,'0,255,255,1
54,54,'0,255,255,1
55,54,'0,255,255,1
56,58,'0,255,255,1
57,58,'0,255,255,1
58,59,'0,255,255,1
59,59,'0,255,255,1
60,60,'0,255,255,1
61,60,'0,255,255,1
62,61,'0,255,255,1
63,61,'0,255,255,1
64,62,'0,255,255,1
65,62,'0,255,255,1
66,63,'0,255,255,1
67,63,'0,255,255,1
70,70,'0,255,255,1
71,70,'0,255,255,1
72,71,'0,255,255,1
73,71,'0,255,255,1
74,72,'0,255,255,1
75,72,'0,255,255,1
76,73,'0,255,255,1
80,80,'0,255,255,1
81,80,'0,255,255,1
82,81,'0,255,255,1
83,81,'0,255,255,1
84,83,'0,255,255,1
85,83,'0,255,255,1
86,82,'0,255,255,1
87,82,'0,255,255,1
88,82,'0,255,255,1
89,82,'0,255,255,1
90,83,'0,255,255,1
91,83,'0,255,255,1
96,96,'0,255,255,1
97,96,'0,255,255,1
98,97,'0,255,255,1
99,97,'0,255,255,1
100,65535,'0,255,'0,1
101,65535,'0,255,'0,1
102,2,'0,255,255,1
103,2,'0,255,255,1
106,2,'0,255,255,1
107,2,'0,255,255,1
110,110,'0,255,255,1
111,113,'0,255,255,1
112,111,'0,255,255,1
113,112,'0,255,255,1
114,112,'0,255,255,1
115,113,'0,255,255,1
116,112,'0,255,255,1
117,117,'0,255,255,1
118,114,'0,255,255,1
119,114,'0,255,255,1
120,120,'0,255,255,1
121,121,'0,255,255,1
130,130,'0,255,255,1
140,140,'0,255,255,1
141,140,'0,255,255,1
143,143,'0,255,'0,1
144,144,'0,255,'0,1
145,145,'0,255,'0,1
146,146,'0,255,'0,1
147,147,'0,255,'0,1
148,148,'0,255,'0,1
150,150,'0,255,255,1
155,155,'0,255,255,1
156,156,'0,255,255,1
157,155,'0,255,255,1
158,156,'0,255,255,1
180,180,'0,255,255,1
181,180,'0,255,255,1
182,181,'0,255,255,1
183,181,'0,255,255,1
184,182,'0,255,255,1
185,182,'0,255,255,1
190,190,'0,255,'0,1
191,191,'0,255,'0,1
195,195,'0,255,'0,1
196,196,'0,255,'0,1
200,200,'0,255,255,1
201,200,'0,255,255,1
202,201,'0,255,255,1
203,201,'0,255,255,1
220,220,'0,255,255,1
221,220,'0,255,255,1
222,221,'0,255,255,1
223,221,'0,255,255,1
224,222,'0,255,255,1
225,222,'0,255,255,1
240,240,'0,255,255,1
241,240,'0,255,255,1
242,240,'0,255,255,1
243,240,'0,255,255,1
260,260,'0,255,255,1
261,261,'0,255,255,1
270,270,'0,255,'0,1
271,271,'0,255,'0,1
272,272,'0,255,'0,1
273,273,'0,255,'0,1
280,280,'0,255,255,1
281,280,'0,255,255,1
282,281,'0,255,255,1
283,281,'0,255,255,1
300,300,'0,255,'0,1
301,301,'0,255,'0,1
310,310,'0,255,'0,1
311,311,'0,255,'0,1
322,320,'0,255,'0,1
323,321,'0,255,'0,1
330,330,'0,255,255,1
331,330,'0,255,255,1
335,335,'0,255,'0,1
336,336,'0,255,'0,1
340,340,'0,255,'0,1
341,341,'0,255,'0,1
350,350,'0,255,255,1
351,350,'0,255,255,1
353,351,'0,255,255,1
355,351,'0,255,255,1
360,360,'0,255,255,1
361,360,'0,255,255,1
370,370,'0,255,255,1
371,371,'0,255,255,1
380,380,'0,255,255,1
381,380,'0,255,255,1
382,381,'0,255,255,1
383,381,'0,255,255,1
390,390,'0,255,'0,1
391,390,'0,255,'0,1
395,395,'0,255,'0,1
396,396,'0,255,'0,1
400,400,'0,255,255,1
401,401,'0,255,255,1
402,400,'0,255,255,1
403,400,'0,255,255,1
404,402,'0,255,'0,1
405,403,'0,255,'0,1
411,411,'0,255,255,1
412,411,'0,255,255,1
413,411,'0,255,255,1
414,411,'0,255,255,1
421,421,'0,255,255,1
422,421,'0,255,255,1
423,421,'0,255,255,1
424,421,'0,255,255,1
431,431,'0,255,255,1
432,431,'0,255,255,1
433,431,'0,255,255,1
434,431,'0,255,255,1
441,441,'0,255,255,1
442,441,'0,255,255,1
443,441,'0,255,255,1
444,441,'0,255,255,1
450,401,'0,255,255,1
451,400,'0,255,255,1
452,401,'0,255,255,1
453,401,'0,255,255,1
461,461,'0,255,255,1
462,461,'0,255,255,1
463,461,'0,255,255,1
464,461,'0,255,255,1
500,500,'0,255,255,1
501,501,'0,255,255,1
502,502,'0,255,255,1
503,503,'0,255,255,1
504,504,'0,255,255,1
505,505,'0,255,255,1
506,506,'0,255,255,1
507,507,'0,255,255,1
508,507,'0,255,255,1
509,509,'0,255,255,1
510,510,'0,255,255,1
511,510,'0,255,255,1
512,510,'0,255,255,1
513,513,'0,255,255,1
516,516,'0,255,255,1
517,517,'0,255,255,1
518,518,'0,255,255,1
520,520,'0,255,255,1
522,522,'0,255,255,1
524,524,'0,255,255,1
525,525,'0,255,255,1
526,526,'0,255,255,1
528,528,'0,255,255,1
529,529,'0,255,255,1
530,504,'0,255,255,1
531,531,'0,255,255,1
532,532,'0,255,255,1
533,533,'0,255,255,1
534,534,'0,255,255,1
535,535,'0,255,255,1
536,536,'0,255,255,1
537,537,'0,255,255,1
538,538,'0,255,255,1
539,539,'0,255,255,1
540,540,'0,255,255,1
541,541,'0,255,255,1
542,542,'0,255,255,1
543,543,'0,255,255,1
544,544,'0,255,255,1
546,546,'0,255,255,1
547,547,'0,255,255,1
548,548,'0,255,255,1
549,549,'0,255,255,1
554,554,'0,255,255,1
555,555,'0,255,255,1
556,556,'0,255,255,1
557,557,'0,255,255,1
558,558,'0,255,255,1
559,558,'0,255,255,1
560,558,'0,255,255,1
561,558,'0,255,255,1
563,563,'0,255,255,1
565,565,'0,255,255,1
566,566,'0,255,255,1
567,567,'0,255,255,1
568,568,'0,255,255,1
569,569,'0,255,255,1
570,570,'0,255,255,1
571,571,'0,255,255,1
572,572,'0,255,255,1
573,573,'0,255,255,1
574,574,'0,255,255,1
575,575,'0,255,255,1
576,576,'0,255,255,1
577,577,'0,255,255,1
578,578,'0,255,255,1
579,579,'0,255,255,1
580,580,'0,255,255,1
582,582,'0,255,255,1
584,584,'0,255,255,1
586,586,'0,255,255,1
587,587,'0,255,255,1
588,588,'0,255,255,1
589,588,'0,255,255,1
590,590,'0,255,255,1
591,591,'0,255,255,1
592,592,'0,255,255,1
593,593,'0,255,255,1
594,594,'0,255,255,1
595,595,'0,255,255,1
596,595,'0,255,255,1
597,595,'0,255,255,1
598,598,'0,255,255,1
599,599,'0,255,255,1
601,601,'0,255,'0,1
602,602,'0,255,'0,1
603,603,'0,255,'0,1
604,604,'0,255,'0,1
605,605,'0,255,'0,1
606,606,'0,255,'0,1
607,607,'0,255,'0,1
608,608,'0,255,'0,1
609,609,'0,255,'0,1
610,610,'0,255,'0,1
611,611,'0,255,'0,1
612,612,'0,255,'0,1
613,613,'0,255,'0,1
614,614,'0,255,'0,1
615,615,'0,255,'0,1
616,616,'0,255,'0,1
617,617,'0,255,'0,1
618,618,'0,255,'0,1
619,619,'0,255,'0,1
620,620,'0,255,'0,1
621,621,'0,255,'0,1
622,622,'0,255,'0,1
625,625,'0,255,'0,1
626,626,'0,255,'0,1
627,627,'0,255,'0,1
628,628,'0,255,'0,1
629,629,'0,255,'0,1
630,630,'0,255,'0,1
631,631,'0,255,'0,1
632,632,'0,255,'0,1
633,633,'0,255,'0,1
634,634,'0,255,'0,1
635,635,'0,255,'0,1
636,636,'0,255,'0,1
637,637,'0,255,'0,1
638,638,'0,255,'0,1
639,639,'0,255,'0,1
640,640,'0,255,'0,1
645,645,'0,255,'0,1
646,646,'0,255,'0,1
647,647,'0,255,'0,1
648,648,'0,255,'0,1
649,649,'0,255,'0,1
650,650,'0,255,'0,1
651,651,'0,255,'0,1
652,652,'0,255,'0,1
