tbl_TrkGrpToDistGrp(tbl_TrkGrpToDistGrp)

Export Time:2018/06/03 11:11:58

ID,Trunk group number,Inner caller category,CallerDiscrimination group,Master/Slave type,Status
'0,20,254,1,Master,1
1,21,254,1,Master,1
2,22,254,1,Master,1
3,23,254,1,Master,1
4,704,254,704,Master,1
5,603,254,603,Master,1
6,604,254,603,Master,1
7,606,254,605,Master,1
8,607,254,607,Master,1
9,608,254,607,Master,1
10,609,254,609,Master,1
11,610,254,609,Master,1
12,613,254,613,Master,1
13,614,254,613,Master,1
14,619,254,619,Master,1
15,620,254,619,Master,1
16,621,254,621,Master,1
17,622,254,621,Master,1
18,1586,254,1586,Master,1
19,1587,254,1586,Master,1
20,627,254,627,Master,1
21,628,254,627,Master,1
22,629,254,629,Master,1
23,630,254,629,Master,1
24,631,254,631,Master,1
25,632,254,631,Master,1
26,633,254,633,Master,1
27,634,254,633,Master,1
28,748,254,748,Master,1
29,749,254,748,Master,1
30,637,254,637,Master,1
31,638,254,637,Master,1
32,639,254,639,Master,1
33,640,254,639,Master,1
34,1504,254,1504,Master,1
35,1505,254,1504,Master,1
36,1560,254,1560,Master,1
37,1561,254,1560,Master,1
38,645,254,645,Master,1
39,646,254,645,Master,1
40,647,254,647,Master,1
41,648,254,647,Master,1
42,300,254,300,Master,1
43,970,254,970,Master,1
44,651,254,651,Master,1
45,652,254,651,Master,1
46,653,254,653,Master,1
47,654,254,653,Master,1
48,655,254,655,Master,1
49,656,254,655,Master,1
50,657,254,657,Master,1
51,658,254,657,Master,1
52,615,254,615,Master,1
53,616,254,615,Master,1
54,661,254,661,Master,1
55,662,254,661,Master,1
56,663,254,663,Master,1
57,664,254,663,Master,1
58,665,254,665,Master,1
59,666,254,665,Master,1
60,667,254,667,Master,1
61,668,254,667,Master,1
62,669,254,669,Master,1
63,670,254,669,Master,1
64,671,254,671,Master,1
65,672,254,671,Master,1
66,673,254,673,Master,1
67,674,254,673,Master,1
68,675,254,675,Master,1
69,676,254,675,Master,1
70,1704,254,1704,Master,1
