tbl_TrunkGroup(tbl_TrunkGroup)

Export Time:2018/06/03 10:39:31

Direct index number,Trunk group number,Equipment ID,Trunk group name,Call source code,Office number,Circuit type,Group direction,Circuit selection mode,Additional group,Reserved circuit number for priority user,Connect satellite circuit,International call,Number incomplete,Name valid,Virtual trunk group,Reserved,National Variant,Call-in authority,Call-out authority,Overlap send called number,DOD2,CLIR flag,Send initial tone,Initial tone type,Send exceptional tone,Exceptional tone type,Charging source code,Outgoing trunk charging source code,Use opposite pulse,Centralized accounting flag,Meter bill flag,Type of usage,Reserved 24,Generate call attempt bill,EC capability,Support EC in hairpin call,EC initiative,EC use mode,Blank,Can request caller number,Connect without valid caller number,Calling number min length,Caller number provision mode,Software parameter of signalling control,Default caller number,Bar forwarded call,Connect by default,Calling number address attribute transmitting mode,Whether request caller number for CCB,Request original called number,Connect without valid caller number,Connect without valid original called number,Call barring group number,Signalling mode,Signalling link,Upper seizure threshold,Lower seizure threshold,Software parameter of service control,OPC,DPC,Network indicator,Network management source code,Idle circuits for weak call restriction,Idle circuits for forced call restriction,Audio codec prefer,Circuit pool number,Partial Cli Index,Reserved circuit number for incoming call,Timer group index,ISUP TX mask,ISUP RX mask,ISUP compatibility transmit mask,ISUP compatibility receive mask,Video codec prefer,Video supported flag,Query CAC flag,Hop Counter,Hop Counter Value,Trunk Group type,Enhanced Voice Attribute,Maximum Simultaneous Call,Maximum Simultaneous Incomming Call,Maximum Simultaneous Outgoing Call,Codec List,Gain value,Interface ID,Type of PCCWID,PRA ID,Master/Slave flag,Preselect policy code,Send SAC,Not Ignore CLI  for incoming Trunk,Not Ignore CLI  for outgoing Trunk,Incoming Route Priority,Handle RO Mode,Send Route Origin,Force Release Call,Reserved 27,Incoming Trunk CM Flag,Outgoing Trunk CM Flag,Block status,Reserved 28,Incoming Trunk Class Mark Code,Outgoing Trunk Class Mark Code,ISUP TX sub mask,ISUP RX sub mask,Tone Group,Record status
'0,'0,'0,SOIGW1-SOMGW1,'0,'0,ISUP,Bidirectional trunk,Main control/non-main control,'0,'0,False,False,False,'0,False,'0,ITU-T92+,111111111111111111111111,111111111111111111111111,True,False,'00,False,Recorded 0,True,Recorded 0,'0,65535,False,False,No,Network usage,255,False,True,False,True,Always ON,'0,True,True,1,Default number,255,888888888888,False,True,Not transparently transmit,True,False,True,True,65535,China,'0,'0,'0,'01000000000000000000000000000000,'0008CE,'0008CB,National network,65535,'0,'0,None,255,65535,'0,'0,None,37,None,None,'0,'0,Not Query,False,'0,'0,'00000000000000000000000000000000,None,None,None,1111110001011110111000000111000100000000,'0,None,ISUP/TUP,,Master,65535,False,True,True,Not Configure,Send RO Directly,Send,False,'0,Not Configure,Not Configure,'0,'0,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,65535,65535,65534,1
1,1,1,SOIGW2-SOMGW1,'0,'0,ISUP,Bidirectional trunk,Main control/non-main control,'0,'0,False,False,False,'0,False,'0,ITU-T92+,111111111111111111111111,111111111111111111111111,True,False,'00,False,Recorded 0,True,Recorded 0,'0,65535,False,False,No,Network usage,255,False,True,False,True,Always ON,'0,True,True,1,Default number,255,888888888888,False,True,Not transparently transmit,True,False,True,True,65535,China,'0,'0,'0,'01000000000000000000000000000000,'0008CE,'0008CB,National network,65535,'0,'0,None,255,65535,'0,'0,None,37,None,None,'0,'0,Not Query,False,'0,'0,'00000000000000000000000000000000,None,None,None,1111110001011110111000000111000100000000,'0,None,ISUP/TUP,,Master,65535,False,True,True,Not Configure,Send RO Directly,Send,False,'0,Not Configure,Not Configure,'0,'0,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,65535,65535,65534,1
2,48,3,BOIGW1-OM-NGN-INTL,21,48,ISUP,Outgoing trunk,Main control/non-main control,'0,'0,False,False,False,'0,False,'0,ITU-T92+,111111111111111111111111,111111111111111111111111,True,False,'00,False,Recorded 0,False,Recorded 0,'0,65535,False,False,No,Network usage,255,False,True,False,True,Always ON,'0,True,True,1,Default number,255,888888888888,False,True,Not transparently transmit,False,False,True,True,65535,China,'0,'0,'0,'01000000000000000000000000000000,'0008CE,'000453,National network,65535,'0,'0,None,255,65535,'0,'0,None,None,None,None,'0,'0,Not Query,False,'0,'0,'00000000000000000000000000000000,None,None,None,1111110001011110111000000111000100000000,'0,None,ISUP/TUP,,Master,65535,False,True,True,Not Configure,Send RO Directly,Not Send,False,'0,Not Configure,Not Configure,'0,'0,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,65535,65535,65534,1
3,24,3,BOIGW1-GMP1-INTL,20,35,ISUP,Outgoing trunk,Main control/non-main control,'0,'0,False,False,False,'0,False,'0,ITU-T92+,111111111111111111111111,111111111111111111111111,True,False,'00,False,Recorded 0,False,Recorded 0,'0,65535,False,False,No,Network usage,255,False,True,False,True,Always ON,'0,True,True,1,Default number,255,888888888888,False,True,Not transparently transmit,False,False,True,True,65535,China,'0,'0,'0,'01000000000000000000000000000000,'0008CE,'00081D,National network,65535,'0,'0,None,255,65535,'0,'0,None,None,None,None,'0,'0,Not Query,False,'0,'0,'00000000000000000000000000000000,None,None,None,1111110001011110111000000111000100000000,'0,None,ISUP/TUP,,Master,65535,False,True,True,Not Configure,Send RO Directly,Send,False,'0,Not Configure,Not Configure,'0,'0,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,65535,65535,65534,1
4,52,3,BOIGW1-OM-NGN-Fixed,122,48,ISUP,Bidirectional trunk,Main control/non-main control,'0,'0,False,False,False,'0,False,'0,ITU-T92+,111111111111111111111111,111111111111111111111111,True,False,'00,False,Recorded 0,False,Recorded 0,'0,65535,False,False,No,Network usage,255,False,True,False,True,Always ON,'0,True,True,1,Default number,255,888888888888,False,True,Not transparently transmit,False,False,True,True,65535,China,'0,'0,'0,'01000000000000000000000000000000,'0008CE,'000453,National network,65535,'0,'0,None,255,65535,'0,'0,None,None,None,None,'0,'0,Not Query,False,'0,'0,'00000000000000000000000000000000,None,None,None,1111110001011110111000000111000100000000,'0,None,ISUP/TUP,,Master,65535,False,True,True,Not Configure,Send RO Directly,Not Send,False,'0,Not Configure,Not Configure,'0,'0,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,65535,65535,65534,1
5,25,'0,SOIGW1-GMP1-INTL,20,35,ISUP,Outgoing trunk,Main control/non-main control,'0,'0,False,False,False,'0,False,'0,ITU-T92+,111111111111111111111111,111111111111111111111111,True,False,'00,False,Recorded 0,False,Recorded 0,'0,65535,False,False,No,Network usage,255,False,True,False,True,Always ON,'0,True,True,1,Default number,255,888888888888,False,True,Not transparently transmit,False,False,True,True,65535,China,'0,'0,'0,'01000000000000000000000000000000,'0008CE,'00081D,National network,65535,'0,'0,None,255,65535,'0,'0,None,None,None,None,'0,'0,Not Query,False,'0,'0,'00000000000000000000000000000000,None,None,None,1111110001011110111000000111000100000000,'0,None,ISUP/TUP,,Master,65535,False,True,True,Not Configure,Send RO Directly,Send,False,'0,Not Configure,Not Configure,'0,'0,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,65535,65535,65534,1
6,2,'0,SOIGW1-SOMGW2,'0,'0,ISUP,Bidirectional trunk,Main control/non-main control,'0,'0,False,False,False,'0,False,'0,ITU-T92+,111111111111111111111111,111111111111111111111111,True,False,'00,False,Recorded 0,False,Recorded 0,'0,65535,False,False,No,Network usage,255,False,True,False,True,Always ON,'0,True,True,1,Default number,255,888888888888,False,True,Not transparently transmit,True,False,True,True,65535,China,'0,'0,'0,'01000000000000000000000000000000,'0008CE,'0008E3,National network,65535,'0,'0,None,255,65535,'0,'0,None,37,None,None,'0,'0,Not Query,False,'0,'0,'00000000000000000000000000000000,None,None,None,1111110001011110111000000111000100000000,'0,None,ISUP/TUP,,Master,65535,False,True,True,Not Configure,Send RO Directly,Send,False,'0,Not Configure,Not Configure,'0,'0,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,65535,65535,65534,1
7,3,1,SOIGW2-SOMGW2,'0,'0,ISUP,Bidirectional trunk,Main control/non-main control,'0,'0,False,False,False,'0,False,'0,ITU-T92+,111111111111111111111111,111111111111111111111111,True,False,'00,False,Recorded 0,False,Recorded 0,'0,65535,False,False,No,Network usage,255,False,True,False,True,Always ON,'0,True,True,1,Default number,255,888888888888,False,True,Not transparently transmit,True,False,True,True,65535,China,'0,'0,'0,'01000000000000000000000000000000,'0008CE,'0008E3,National network,65535,'0,'0,None,255,65535,'0,'0,None,37,None,None,'0,'0,Not Query,False,'0,'0,'00000000000000000000000000000000,None,None,None,1111110001011110111000000111000100000000,'0,None,ISUP/TUP,,Master,65535,False,True,True,Not Configure,Send RO Directly,Send,False,'0,Not Configure,Not Configure,'0,'0,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,65535,65535,65534,1
8,26,6,BOIGW2-QUR2-INTL,20,35,ISUP,Outgoing trunk,Main control/non-main control,'0,'0,False,False,False,'0,False,'0,ITU-T92+,111111111111111111111111,111111111111111111111111,True,False,'00,False,Recorded 0,False,Recorded 0,'0,65535,False,False,No,Network usage,255,False,True,False,True,Always ON,'0,True,True,1,Default number,255,888888888888,False,True,Not transparently transmit,False,False,True,True,65535,China,'0,'0,'0,'01000000000000000000000000000000,'0008CE,'00081D,National network,65535,'0,'0,None,255,65535,'0,'0,None,None,None,None,'0,'0,Not Query,False,'0,'0,'00000000000000000000000000000000,None,None,None,1111110001011110111000000111000100000000,'0,None,ISUP/TUP,,Master,65535,False,True,True,Not Configure,Send RO Directly,Send,False,'0,Not Configure,Not Configure,'0,'0,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,65535,65535,65534,1
9,9,6,BOIGW2-MUMGW1-VOIP,5,1,ISUP,Incoming trunk,Main control/non-main control,'0,'0,False,False,False,'0,False,'0,ITU-T92+,111111111111111111111111,'000000000000000000000000,True,False,'00,False,Recorded 0,False,Recorded 0,'0,65535,False,False,No,Network usage,255,False,True,False,True,Always ON,'0,True,True,1,Default number,255,888888888888,False,True,Not transparently transmit,False,False,True,True,65535,China,'0,'0,'0,'01000000000000000000000000000000,'0008CE,'0004D3,National network,65535,'0,'0,None,255,65535,'0,'0,None,37,None,None,'0,'0,Not Query,False,'0,'0,'00000000000000000000000000000000,None,None,None,1111110001011110111000000111000100000000,'0,None,ISUP/TUP,,Master,65535,False,True,True,Not Configure,Send RO Directly,Send,False,'0,Not Configure,Not Configure,'0,'0,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,'00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,65535,65535,65534,1
