Route No.,Route Name,Subroute Sel.Mode,Per of Dir Subroutes,Percentage 2,Percentage 3,Percentage 4,1st sub-route,2nd sub-route,3rd sub-route,4th sub-route
601,SIPTG_Ajay Enterpriss Fiber,Select by percentage,100,0,0,0,601,602,None,None
603,SIPTG_NAWRAS,Select by percentage,100,0,0,0,603,604,None,None
604,SIPTG_Urbn Trding & Contrac LLC,Select by percentage,100,0,0,0,1502,1503,None,None
605,SIP_Al_Hamli,Select by percentage,100,0,0,0,605,606,None,None
606,SIPTG_Toqe trd ad cntrl sys,Select by percentage,100,0,0,0,1504,1505,None,None
607,SIPTG_ERNST YOUNG,Select by percentage,100,0,0,0,607,608,None,None
609,SIPTG_Chedi,Select by percentage,100,0,0,0,609,610,None,None
610,SIPTG_Hytec & Co LLC,Select by percentage,100,0,0,0,1508,1509,None,None
611,SIPTG_CCC-GCW MW,Select by percentage,100,0,0,0,611,612,None,None
612,SIPTG_OPAL Trck Oman LLC,Select by percentage,100,0,0,0,1512,1513,None,None
613,SIPTG_Weatherf,Select by percentage,100,0,0,0,613,614,None,None
614,SIPTG_Muscat Crown Projects,Select by percentage,100,0,0,0,1514,1515,None,None
615,SIP for testing,Select by percentage,0,100,0,0,615,616,None,None
616,SIPTG_Toque Trade and Control,Select by percentage,100,0,0,0,1516,1517,None,None
617,SIP_Safeer_Hotel,Select by percentage,100,0,0,0,617,618,None,None
618,SIPTG_Safety Technical Services,Select by percentage,100,0,0,0,1510,1511,None,None
619,SIPTG_Oman-Oilfield,Select by percentage,100,0,0,0,619,620,None,None
620,SIPTG_Muscat Natnl Dvlpmnt,Select by percentage,100,0,0,0,1518,1519,None,None
621,SIPTG_German University,Select by percentage,100,0,0,0,621,622,None,None
622,SIPTG_Ibn Sina Pharmacy LLC,Select by percentage,100,0,0,0,1522,1523,None,None
624,SIPTG_The Oman Munitions Production Company,Select by percentage,100,0,0,0,1524,1525,None,None
625,SIPTG_MOE_Dhofar,Select by percentage,100,0,0,0,625,626,None,None
626,SIPTG_Action Group Holding LLC,Select by percentage,100,0,0,0,1526,1527,None,None
627,SIPTG_Ghala-Ernst & Young,Select by percentage,100,0,0,0,627,628,None,None
628,SIPTG_Deloitte Touche CO LLC,Select by percentage,100,0,0,0,1528,1529,None,None
629,SIPTG_CC-ENERGY-DEV-KHUWAIR,Select by percentage,100,0,0,0,629,630,None,None
630,SIPTG_Ministry Health,Select by percentage,100,0,0,0,1530,1531,None,None
631,SIPTG_CC-ENERGY-DEV-SAIWAN,Select by percentage,100,0,0,0,631,632,None,None
632,SIPTG_Ministry Health1,Select by percentage,100,0,0,0,1532,1533,None,None
633,SIPTG_CC-ENERGY-DEV-FARHA,Select by percentage,100,0,0,0,633,634,None,None
635,SIPTG_Glf Bader Mrkts SAOC,Select by percentage,100,0,0,0,635,636,None,None
636,SIPTG_Lulu Hyper Market L.L.C,Select by percentage,100,0,0,0,1534,1535,None,None
637,SIPTG_Ministry Of Defence,Select by percentage,100,0,0,0,637,638,None,None
638,SIPTG_New Investmen Company,Select by percentage,100,0,0,0,1536,1537,None,None
639,SIPTG_Gulf Info Tech LLC,Select by percentage,100,0,0,0,639,640,None,None
640,SIPTG_Habib Bank,Select by percentage,100,0,0,0,1624,1625,None,None
641,SIPTG_Rapid Access LLC,Select by percentage,100,0,0,0,1540,1541,None,None
642,SIPTG_Oman Trading Est,Select by percentage,100,0,0,0,1548,1549,None,None
643,SIPTG_APL Logistics Oman,Select by percentage,100,0,0,0,1578,1579,None,None
644,SIPTG_Rakhyoot Tourism Investment,Select by percentage,100,0,0,0,1550,1551,None,None
645,SIPTG_Oman Olympic Committee,Select by percentage,100,0,0,0,645,646,None,None
646,SIPTG_Safeer Hotel2,Select by percentage,100,0,0,0,1544,1545,None,None
647,SIPTG_Zubair-AutoKHUWAIR,Select by percentage,100,0,0,0,647,648,None,None
648,SIPTG_Safeer Hotel3,Select by percentage,100,0,0,0,1546,1547,None,None
649,SIPTG_Tamimah telcm cmp tech,Select by percentage,100,0,0,0,649,650,None,None
650,SIPTG_Safeer Hotel1,Select by percentage,100,0,0,0,1542,1543,None,None
651,SIPTG_Nasma_Tel_LLC,Select by percentage,100,0,0,0,651,652,None,None
652,SIPTG_Alizz Islamic Bank SAOG,Select by percentage,100,0,0,0,1552,1553,None,None
653,SIPTG_MilitaryTechCollege,Select by percentage,100,0,0,0,653,654,None,None
654,SIPTG_Al Asriyah Marble LLC,Select by percentage,100,0,0,0,1538,1539,None,None
655,SIPTG_Services & Trade Company,Select by percentage,100,0,0,0,655,656,None,None
656,SIPTG_Ibn Sina Pharmacy FNP,Select by percentage,100,0,0,0,1554,1555,None,None
657,SIPTG_Tawoos IndLLC,Select by percentage,100,0,0,0,657,658,None,None
658,SIPTG_Arabian Industries LLC,Select by percentage,100,0,0,0,1556,1557,None,None
659,SIPTG_Bin Salim LLC,Select by percentage,100,0,0,0,659,660,None,None
660,SIPTG_Al Madina Insrnce,Select by percentage,100,0,0,0,1558,1559,None,None
661,SIP_Test_Mir,Select by percentage,100,0,0,0,661,662,None,None
662,SIPTG_Safety Technical Srvc,Select by percentage,100,0,0,0,1560,1561,None,None
663,SIP_Tawoos_Marmoul,Select by percentage,100,0,0,0,663,664,None,None
664,SIPTG_Suhail Bahwan Autombl,Select by percentage,100,0,0,0,1562,1563,None,None
665,SIP_Tawoos_Bahjah,Select by percentage,100,0,0,0,665,666,None,None
667,SIP_Tawoos_FAHUD,Select by percentage,100,0,0,0,667,668,None,None
669,SIP_Tawoos_Sayh,Select by percentage,100,0,0,0,669,670,None,None
670,Test_Route_IDT,Select by percentage,100,0,0,0,270,271,None,None
671,SIP_Tawoos_Nimr,Select by percentage,100,0,0,0,671,672,None,None
673,SIP_Bait_Zubair_Mu,Select by percentage,100,0,0,0,673,674,None,None
